date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:56:54	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Aug%202025%2008:07:49%20GMT	http://ophysics.com/robots.txt		(from )
01:56:55	15644/15644	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Oct%202025%2017:36:05%20GMT	http://ophysics.com/	C:/My%20Web%20Sites/final/ophysics.com/index.html	(from )
01:56:55	2300/2300	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Mar%202025%2001:42:42%20GMT	http://ophysics.com/css/style.css	C:/My%20Web%20Sites/final/ophysics.com/css/style.css	(from http://ophysics.com/)
01:56:56	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Aug%202025%2008:07:49%20GMT	http://ophysics.com/js/main.js	C:/My%20Web%20Sites/final/ophysics.com/js/main.js	(from http://ophysics.com/)
01:56:56	15644/15644	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Oct%202025%2017:36:05%20GMT	http://ophysics.com/index.html	C:/My%20Web%20Sites/final/ophysics.com/index-2.html	(from http://ophysics.com/)
01:56:56	17901/17901	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Oct%202025%2022:12:12%20GMT	http://ophysics.com/k.html	C:/My%20Web%20Sites/final/ophysics.com/k.html	(from http://ophysics.com/)
01:56:57	12654/12654	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Oct%202025%2022:12:12%20GMT	http://ophysics.com/k1.html	C:/My%20Web%20Sites/final/ophysics.com/k1.html	(from http://ophysics.com/)
01:56:57	12940/12940	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Oct%202025%2022:12:12%20GMT	http://ophysics.com/k2.html	C:/My%20Web%20Sites/final/ophysics.com/k2.html	(from http://ophysics.com/)
01:56:58	12695/12695	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Oct%202025%2022:12:12%20GMT	http://ophysics.com/k3.html	C:/My%20Web%20Sites/final/ophysics.com/k3.html	(from http://ophysics.com/)
01:56:58	12934/12934	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Oct%202025%2022:12:11%20GMT	http://ophysics.com/k3b.html	C:/My%20Web%20Sites/final/ophysics.com/k3b.html	(from http://ophysics.com/)
01:56:58	12937/12937	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Oct%202025%2022:12:11%20GMT	http://ophysics.com/k4.html	C:/My%20Web%20Sites/final/ophysics.com/k4.html	(from http://ophysics.com/)
01:56:59	12787/12787	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Oct%202025%2022:12:11%20GMT	http://ophysics.com/k4b.html	C:/My%20Web%20Sites/final/ophysics.com/k4b.html	(from http://ophysics.com/)
